U116455074000152123883555     82649000      V. SOARES SILVA & CIA LTDA-ME??????????
P216455074000152271           PUNHO PIQUET PRETO HUMATEX                        KG    ATI0000000000005990
P216455074000152272           PUNHO PIQUET ROSA PINK HUMATEX                    KG    ATI0000000000005990
P216455074000152273           PUNHO PIQUET AZUL ROYAL HUMATEX                   KG    ATI0000000000005990
P216455074000152274           PUNHO PIQUET VERDE BANDEIRA HUMATEX               KG    ATI0000000000005990
P216455074000152275           PUNHO PIQUET VERMELHO HUMATEX                     KG    ATI0000000000005990
P216455074000152276           HELANQUINHA AMARELO CANARIO SERTEX                KG    ATI0000000000002490
P216455074000152277           HELANQUINHA AMARELO OURO SERTEX                   KG    ATI0000000000002490
P216455074000152278           HELANQUINHA AZUL MARINHO SERTEX                   KG    ATI0000000000002490
P216455074000152279           HELANQUINHA AZUL ROYAL SERTEX                     KG    ATI0000000000002490
P216455074000152280           HELANQUINHA BEGE SERTEX                           KG    ATI0000000000002490
P216455074000152281           HELANQUINHA BRANCA SERTEX                         KG    ATI0000000000002490
P216455074000152282           HELANQUINHA LARANJA SERTEX                        KG    ATI0000000000002490
P216455074000152283           HELANQUINHA PRETO SERTEX                          KG    ATI0000000000002490
P216455074000152284           HELANQUINHA ROSA CHICLETE SERTEX                  KG    ATI0000000000002490
P216455074000152285           HELANQUINHA VERDE BANDEIRA SERTEX                 KG    ATI0000000000002490
P216455074000152286           HELANQUINHA VERMELHO SERTEX                       KG    ATI0000000000002490
P216455074000152287           HELANQUINHA AZUL ROYAL PREMIERE                   KG    ATI0000000000002450
P216455074000152288           HELANQUINHA AZUL TURQUESA PREMIERE                KG    ATI0000000000002450
P216455074000152289           HELANQUINHA BRANCA PREMIERE                       KG    ATI0000000000002450
P216455074000152290           HELANQUINHA LARANHA CITRICO PREMIERE              KG    ATI0000000000002450
P216455074000152291           HELANQUINHA LARANJA PREMIERE                      KG    ATI0000000000002450
P216455074000152292           HELANQUINHA ROSA CITRICA PREMIERE                 KG    ATI0000000000002450
P216455074000152293           HELANQUINHA ROXO PREMIERE                         KG    ATI0000000000002450
P216455074000152294           HELANQUINHA VERDE LIMÃO PREMIERE                  KG    ATI0000000000002450
P216455074000152295           HELANQUINHA VERMELHO PREMIERE                     KG    ATI0000000000002450
P216455074000152296           PP AMARELO BB                                     KG    ATI0000000000002900
P216455074000152297           PP AMARELO CANARIO                                KG    ATI0000000000002900
P216455074000152298           PP AMARELO OURO                                   KG    ATI0000000000002900
P216455074000152299           PP AZUL CELESTE                                   KG    ATI0000000000002900
P216455074000152300           PP AZUL MARINHO                                   KG    ATI0000000000002900
P216455074000152301           PP AZUL ROYAL                                     KG    ATI0000000000002900
P216455074000152302           PP AZUL TURQUESA                                  KG    ATI0000000000002900
P216455074000152303           PP  BRANCO                                        KG    ATI0000000000002900
P216455074000152304           PP CINZA CLARO                                    KG    ATI0000000000002900
P216455074000152305           PP GRAFITE                                        KG    ATI0000000000002900
P216455074000152306           PP LARANJA PREMIERE                               KG    ATI0000000000002900
P216455074000152307           PP LILAS                                          KG    ATI0000000000002900
P216455074000152308           PP MARROM                                         KG    ATI0000000000002900
P216455074000152309           PP PRETO                                          KG    ATI0000000000002900
P216455074000152310           PP ROSA BB                                        KG    ATI0000000000002900
P216455074000152311           PP ROSA PINK                                      KG    ATI0000000000002900
P216455074000152312           PP ROXO                                           KG    ATI0000000000002900
P216455074000152313           PP SALMÃO                                         KG    ATI0000000000002900
P216455074000152314           PP VERDE BANDEIRA                                 KG    ATI0000000000002900
P216455074000152315           PP VERDE BB                                       KG    ATI0000000000002900
P216455074000152316           PP VERDE LIMÃO                                    KG    ATI0000000000002900
P216455074000152317           PP VERDE MUSGO                                    KG    ATI0000000000002900
P216455074000152318           PP VERMELHO                                       KG    ATI0000000000002900
P216455074000152319           PP VINHO                                          KG    ATI0000000000002900
P216455074000152320           RIBANA PP AMARELO CANARIO                         KG    ATI0000000000003890
P216455074000152321           RIBANA PP AMARELO OURO                            KG    ATI0000000000003890
P216455074000152322           RIBANA PP AZUL ROYAL                              KG    ATI0000000000003890
P216455074000152323           RIBANA PP AZUL TURQUESA                           KG    ATI0000000000003890
P216455074000152324           RIBANA PP BRANCO                                  KG    ATI0000000000003890
P216455074000152325           RIBANA DE PP CINZA CLARO PREMIERE                 KG    ATI0000000000003490
P216455074000152326           RIBANA PP LARANJA                                 KG    ATI0000000000003890
P216455074000152327           RIBANA PP LILAS                                   KG    ATI0000000000003890
P216455074000152328           RIBANA PP RETO                                    KG    ATI0000000000003890
P216455074000152329           RIBANA PP ROXO                                    KG    ATI0000000000003890
P216455074000152330           RIBANA PP VERDE BANDEIRA                          KG    ATI0000000000003890
P216455074000152331           RIBANA PP VERMELHO                                KG    ATI0000000000003890
P216455074000152332           RIBANA PP VINHO                                   KG    ATI0000000000003890
P216455074000152333           FIO 30 AMARELO BB MENEGOTTI                       KG    ATI0000000000004290
P216455074000152334           FIO 30 AMARELO CANARIO MENEGOTTI                  KG    ATI0000000000004290
P216455074000152335           FIO 30 AZUL BB MENEGOTTI                          KG    ATI0000000000004290
P216455074000152336           FIO 30 AZUL MARINHO MENEGOTTI                     KG    ATI0000000000004290
