U110385908000114037201956     1255800       TORRES FOMENTO MERCANTIL COMERCIAL E EMPRESARIAL??????????
P210385908000114631           SALG. PIPOFLOCS METALIZADO PRESUNTO C/5           UNI???ATT1800000000000500
P210385908000114564           COCA COLA ZERO 2000ML                             PC????ATF0000000000002800
P210385908000114618           SALG. PIPOFLOCS REQUEIJAO C/30                    UNI???ATT1800000000000280
P210385908000114591           BALA SANTA FÉ GEL SORT.                           PC????ATT1800000000000350
P210385908000114592           BALA MAST WALL DUPY SORT.                         PC????ATT1800000000000350
P210385908000114274           HILTON                                            PC????ATF0000000000006950
P210385908000114491           CREMOGEMA 200G                                    UNI???ATT1800000000000200
P210385908000114275           HIRAN 600 ML                                      GR????ATF0000000000002000
P210385908000114276           HOLLYWOOD                                         PC????ATF0000000000007450
P210385908000114629           SALG. PIPOFLOCS METALIZADO MANTEIGA C/10          UNI???ATT1800000000000280
P210385908000114267           PIRULITO PARABENS COLORIDO C/50                   UNI???ATT1800000000000180
P210385908000114679           RAÇAO TANGO 25 KG                                 SC????ATT1800000000005000
P210385908000114628           SALG. PIPOFLOCS METALIZADO MILHO C/10             UNI???ATT1800000000000280
P210385908000114278           ISQUEIRO BIC GRANDE C/12                          PC????ATF0000000000003250
P210385908000114281           JUJUBA 500G                                       PC????ATT1800000000000350
P210385908000114283           JUNINHO SCHIN GUARANA 250ML                       CX????ATF0000000000001100
P210385908000114282           JUNINHO SCHIN COLA 250 ML                         CX????ATF0000000000001100
P210385908000114284           JUNINHO SCHIN LARANJA 250ML                       CX????ATF0000000000001100
P210385908000114285           JUNINHO SCHIN LIMAO 250 ML                        CX????ATF0000000000001100
P210385908000114699           CALDO MAGGI GALINHA C/24                          CX????ATT1800000000000680
P210385908000114288           KISUQUE DOCILE C/60                               UNI???ATT1800000000000400
P210385908000114289           KITUT FIANBRE C/24                                CX????ATT1800000000007000
P210385908000114290           LAMINA WILKINSON C/20                             CX    ATF0000000000001600
P210385908000114295           LEITE NINHO INST.400G                             UNI???ATT1800000000000900
P210385908000114296           LEITE NINHO INTEGRAL 400G                         UNI???ATT1800000000000900
P210385908000114297           LICOR DE MENTA NORDESTINA                         UNI???ATF0000000000000360
P210385908000114299           MAIZENA 200G                                      UNI???ATT1800000000000150
P210385908000114627           SALG. PIPOFLOCS METALIZADO REQUEIJAO C/10         UNI???ATT1800000000000280
P210385908000114625           SALG. PIPOFLOCS METALIZADO CHURRASCO C/10         UNI???ATT1800000000000280
P210385908000114304           MARTINI BIANCO                                    L?????ATF0000000000001850
P210385908000114305           MARTINI ROSATO                                    L?????ATF0000000000001850
P210385908000114881           SAND HAV COLOR AZUL NAVAL 39/40                   PC????ATT1800000000003750
P210385908000114638           SALG. PIPOFLOCS METALIZADO PRESUNTO C/10          UNI???ATT1800000000000280
P210385908000114624           SALG. PIPOFLOCS METALIZADO QUEIJO C/10            UNI???ATT1800000000000280
P210385908000114619           SALG. PIPOFLOCS PRESUNTO C/30                     UNI???ATT1800000000000280
P210385908000114620           SALG. PIPOFLOCS MILHO C/30                        UNI???ATT1800000000000280
P210385908000114621           SALG. QI-FLOCS MILHO 70G                          UNI???ATT1800000000000450
P210385908000114313           MOLHO ALHO                                        UNI???ATT1800000000000120
P210385908000114315           MOLHO INGLES                                      UNI???ATT1800000000000120
P210385908000114316           MOLHO PIMEMTA PINGA FOGO                          UNI???ATT1800000000000120
P210385908000114632           SALG. PIPOFLOCS METALIZADO QUEIJO C/5             UNI???ATT1800000000000500
P210385908000114318           MUCILON ARROZ LATA                                UNI???ATT1800000000000600
P210385908000114803           SODA 1 L C/6                                      PC????ATF0000000000001150
P210385908000114326           PEPSI 1000ML C/6                                  PC????ATF0000000000001150
P210385908000114327           PEPSI 2000ML                                      PC????ATF0000000000002000
P210385908000114596           VULCANO ENERG. DRINK 1 LT                         UNI???ATF0000000000000660
P210385908000114331           SKINKA LARANJA                                    PC????ATT1800000000001850
P210385908000114332           SMIRNOFF ICE C/6                                  PC????ATF0000000000001750
P210385908000114333           SODA 1000ML C/6                                   PC????ATF0000000000001150
P210385908000114334           SODA ANT. 2000ML                                  PC????ATF0000000000002700
P210385908000114335           SODA 600ML C/12                                   CX????ATF0000000000002100
P210385908000114336           SODA ANT. KS                                      GR????ATF0000000000003900
P210385908000114337           SODA ANT. LATA 350 ML C/12                        CX????ATF0000000000001850
P210385908000114338           SONRISAL C/60                                     CX????ATF0000000000002200
P210385908000114339           SUKITA 1000ML C/12                                CX????ATF0000000000003300
P210385908000114340           SUKITA 2000ML                                     CX????ATF0000000000001700
P210385908000114341           SUKITA LATA 350ML C/12                            CX????ATF0000000000002000
P210385908000114595           VULCANO ENERG. DRINK 500 ML                       UNI???ATF0000000000000400
P210385908000114594           EXCLUIDO                                          UNI???ATF0000000000000430
P210385908000114346           TRIDENT  HERBAL FRESH C/21                        CX????ATT1800000000001950
P210385908000114347           TRIDENT HORT. C/21                                CX????ATT1800000000001950
P210385908000114348           TRIDENT MENTA C/21                                CX????ATT1800000000001950
P210385908000114349           TRIDENT MORANGO C/21                              CX????ATT1800000000001950
P210385908000114350           TRIDENT TUTTI FRUTI C/21                          CX????ATT1800000000001950
P210385908000114351           TRIDENT EUCALIPTO                                 CX????ATT1800000000001950
P210385908000114352           TRIDENT FRESHMINT C/21                            CX????ATT1800000000001950
P210385908000114353           TRIDENT MELANCIA TWIST C/21                       CX????ATT1800000000001950
P210385908000114354           TRIDENT TROPICAL MIX                              CX????ATT1800000000001950
P210385908000114355           UNIVERSAL                                         PC????ATF0000000000002550
P210385908000114356           VINAGRE MINHOTO 12X500ML                          CX????ATT1800000000001900
P210385908000114357           VINAGRE MINHOTO 12X250ML                          UNI???ATT1800000000001150
P210385908000114358           VINAGRE MURIONGO 12X250ML                         CX????ATT1800000000000900
P210385908000114359           VINHO CARRETEIRO 600ML                            GR????ATT2700000000004400
P210385908000114360           VINHO CARRETEIRO 900ML                            L?????ATT2700000000000360
P210385908000114678           RAÇAO JAZZ MIX 25 KG                              SC????ATT1800000000006500
P210385908000114364           VINHO DOM BOSCO TINTO 750 ML                      L?????ATT2700000000000400
P210385908000114365           VINHO INDIANO 600ML                               GR????ATF0000000000006500
P210385908000114366           VINHO INDIANO 900ML                               L?????ATT1800000000000350
P210385908000114367           VINHO JATOBA GENGIBRE                             GR????ATT2700000000004500
P210385908000114368           VINHO JATOBA JURUBEBA 600ML                       GR????ATT2700000000004100
P210385908000114369           VINHO JATOBA UVA 600 ML                           GR????ATT2700000000002800
P210385908000114371           VINHO QUENTINHO 600ML                             GR????ATT2700000000002500
P210385908000114372           VINHO QUENTINHO 750ML                             L?????ATT2700000000000200
P210385908000114373           VINHO SANTA CEIA SECO 750ML                       L?????ATT2700000000000500
P210385908000114375           VODKA NATASHA                                     L?????ATF0000000000001200
P210385908000114376           VODKA NORDOFF                                     L?????ATF0000000000000580
P210385908000114377           VODKA ORLOFF                                      L?????ATF0000000000002200
P210385908000114378           VODKA SMIRNOFF 600 ML                             L?????ATF0000000000001450
P210385908000114379           WHISKY CAVALO BRANCO                              L?????ATF0000000000005500
